ug 20 10:29:02 2020    call_gsas.prof

         27734897 function calls (27720644 primitive calls) in 188.165 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14057    0.024    0.000    0.024    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/misc.py:182(_datacopied)
    14057    0.023    0.000    0.023    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/lib/twodim_base.py:396(_trilu_dispatcher)
       22    0.008    0.000    0.015    0.001 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:233(sortM20)
     5888    0.010    0.000    0.010    0.000 :0(random)
     1406    0.009    0.000    0.009    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:154(Gmat2A)
       12    0.000    0.000    0.007    0.001 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:899(monoCellReduce)
        1    0.000    0.000    0.006    0.006 mc_cellsearch.py:140(prepare_good_peaks)
      292    0.002    0.000    0.005    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:97(ranAbyR)
        1    0.000    0.000    0.005    0.005 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/random.py:285(sample)
     1400    0.004    0.000    0.004    0.000 :0(log)
        2    0.000    0.000    0.004    0.002 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/abc.py:180(__instancecheck__)
     24/2    0.001    0.000    0.004    0.002 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/abc.py:196(__subclasscheck__)
       10    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(allclose)
     1399    0.003    0.000    0.003    0.000 :0(exp)
       10    0.000    0.000    0.003    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numeric.py:2121(allclose)
       10    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(isclose)
       10    0.000    0.000    0.003    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numeric.py:2197(isclose)
      292    0.002    0.000    0.003    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:64(ran2axis)
     1368    0.002    0.000    0.002    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:732(getDmin)
